Type,Eccentricity,Solidity,Extent,Equivalent_diameter,Convex_hull,CircleRatio,Mean,Variance,Median,Mode,Vertical_symmetry,Horizontal_symmetry,Minimal_distance,Maximal_distance,Length_ratio,Peaks_number,Valleys_number,Average_peak_width,Average_peak_height,Minimal_peak,Average_valley_width,Average_valley_height,Maximal_valley
"Acer platanoides",1.371,0.64479,0.5172,0.7294,297.76,2.5738,156.02,738.92,158.36,136.73,0.97961,0.9674,0.59479,1.3409,6.5769,13,55.07,37.589,138.36,12,52.998,32.607,-92.801
"Acer platanoides",1.3667,0.65173,0.52398,0.73169,276.41,2.5444,144.47,632.74,145.93,126.19,1.0178,0.96766,0.59973,1.3425,6.5379,14,45.363,32.293,129.05,14,42.583,26.056,-86.643
"Acer platanoides",1.3696,0.64455,0.50363,0.73014,267.77,2.5896,140.38,605.54,143.07,122.14,0.97605,0.97327,0.59268,1.3363,6.4717,14,45.391,31.231,123.01,13,43.543,26.93,-83.199
"Acer platanoides",1.364,0.65481,0.52121,0.73313,272.8,2.5472,143.07,637.98,145.37,122.51,1.0193,0.97224,0.59734,1.3426,6.4658,15,43.708,29.66,124.14,15,38.8,23.681,-85.463
"Acer platanoides",1.4069,0.73394,0.52272,0.71078,227.39,3.2188,118.11,520.17,121.9,104.78,1.0134,0.95008,0.53654,1.3814,6.803,14,36.473,29.594,104.38,13,40.945,25.548,-63.371
"Acer platanoides",1.4017,0.73783,0.51939,0.71342,225.39,2.9991,116.99,510.4,120.37,78.055,0.9848,0.96679,0.55623,1.3809,6.8772,19,27.23,21.771,74.453,19,28.13,17.704,-65.074
"Acer platanoides",1.403,0.73622,0.52161,0.71274,220.49,3.246,114.38,508.01,117.84,103.52,1.0111,0.94294,0.53495,1.3869,6.6628,14,34.273,28.357,100.07,14,36.017,22.753,-61.19
"Acer platanoides",1.3992,0.74236,0.5164,0.71469,227.35,3.2237,118.19,552.71,122.01,106.34,0.98447,0.9454,0.53571,1.3903,6.6456,15,33.256,27.205,103.69,15,35.112,21.752,-63.314
"Acer platanoides",1.3995,0.64953,0.48935,0.71456,273.99,2.6305,143.57,633.94,147.71,175.18,1.0115,0.93141,0.58835,1.3767,6.5522,12,45.272,37.595,127.94,12,52.388,31.302,-84.467
"Acer platanoides",1.3896,0.64899,0.52028,0.71962,269.98,2.6028,141.18,634.54,144.73,126.35,0.99091,0.92668,0.59267,1.3991,6.4447,12,43.414,37.001,126.35,11,55.48,32.85,-83.673
"Acer platanoides",1.4036,0.65429,0.49618,0.71244,269.88,2.6488,141.97,644.74,146.13,135.47,1.0077,0.93511,0.584,1.4062,6.3663,12,44.898,37.718,126.27,11,55.313,33.167,-82.912
"Acer platanoides",1.3914,0.64513,0.52814,0.71871,244.79,2.6536,128.21,518.27,131.64,121.58,0.98585,0.93454,0.58606,1.3847,6.4723,12,40.197,33.33,114.6,11,49.881,29.611,-75.136
"Acer platanoides",1.4469,0.67459,0.48672,0.69114,244.95,3.5335,129.28,597.5,131.2,138.5,1.0338,0.95406,0.504,1.363,6.8556,12,50.646,33.962,109.26,12,47.034,29.654,-65.155
"Acer platanoides",1.433,0.67053,0.51219,0.69782,233.98,3.4478,122.66,529.78,124.29,91.969,0.97349,0.96765,0.51366,1.3773,6.7655,13,43.843,29.532,93.327,13,40.702,25.63,-63.006
"Acer platanoides",1.4675,0.67647,0.51078,0.68145,239.54,3.5487,126.18,599.98,127.72,106.81,1.0305,0.95454,0.50388,1.3719,6.8396,11,52.903,36.968,107.68,11,50.466,32.105,-63.579
"Acer platanoides",1.452,0.67587,0.52989,0.68872,224.99,3.5275,117.87,517.01,119.44,99.666,0.97068,0.95616,0.50816,1.3952,6.6646,11,48.536,34.157,100.63,10,50.689,32.281,-59.897
"Aesculus hippocastanum",1.1104,0.81348,0.56204,0.90056,867.93,1.7574,469.89,12777,454.04,401.67,1.1386,1.0129,0.69667,1.7003,5.0991,34,39.414,27.037,338.65,35,85.774,29.594,-327.36
"Aesculus hippocastanum",1.13,0.83152,0.5181,0.88497,1093.7,2.0685,613.06,27905,585.03,467.4,0.95142,1.1182,0.62022,1.7897,4.8578,26,71.648,54.806,412.24,27,96.406,35.851,-380.24
"Aesculus hippocastanum",1.0796,0.80555,0.5728,0.92629,1055.2,1.8264,564.86,16856,555.27,505.84,1.0951,1.0054,0.69115,1.7152,4.8594,28,49.668,37.947,417.73,28,107.07,38.983,-390.4
